class,phase,best_set,set,n_paired,dice_mean_set,dice_mean_best,wilcoxon_stat,p_value
tumor,all,REAL_FLAIR,SynDiff-3D-FLAIR,15,0.23901054649072456,0.46638046435971336,12.0,0.0042724609375
tumor,preop,REAL_FLAIR,GAN-cut-2.5D-FLAIR,12,0.3122413642162538,0.5220945683435413,12.0,0.0341796875
tumor,preop,REAL_FLAIR,GAN-cut-2D+3D-post-FLAIR,12,0.34167362889302105,0.5220945683435413,15.0,0.06396484375
tumor,preop,REAL_FLAIR,GAN-cut-2D-FLAIR,12,0.26425119492353993,0.5220945683435413,11.0,0.02685546875
tumor,preop,REAL_FLAIR,GAN-cut-3D-FLAIR,12,0.3789702469054537,0.5220945683435413,19.0,0.12939453125
tumor,preop,REAL_FLAIR,GAN-cyclegan-2.5D-FLAIR,12,0.3247095388668239,0.5220945683435413,17.0,0.09228515625
tumor,preop,REAL_FLAIR,GAN-cyclegan-2D+3D-post-FLAIR,12,0.42037743554612866,0.5220945683435413,24.0,0.26611328125
tumor,preop,REAL_FLAIR,GAN-cyclegan-2D-FLAIR,12,0.4149715747267962,0.5220945683435413,20.0,0.1513671875
tumor,preop,REAL_FLAIR,GAN-cyclegan-3D-FLAIR,12,0.3619082218690346,0.5220945683435413,20.0,0.1513671875
tumor,preop,REAL_FLAIR,GAN-pix2pix-2.5D-FLAIR,12,0.4076953090592191,0.5220945683435413,22.0,0.20361328125
tumor,preop,REAL_FLAIR,GAN-pix2pix-2D+3D-post-FLAIR,12,0.3850223069455813,0.5220945683435413,22.0,0.20361328125
tumor,preop,REAL_FLAIR,GAN-pix2pix-2D-FLAIR,12,0.3649557682086639,0.5220945683435413,16.0,0.0771484375
tumor,preop,REAL_FLAIR,GAN-pix2pix-3D-FLAIR,12,0.26996029161801943,0.5220945683435413,8.0,0.01220703125
tumor,preop,REAL_FLAIR,GAN-swinpix2pix-2.5D-FLAIR,12,0.33293179465723505,0.5220945683435413,16.0,0.0771484375
tumor,preop,REAL_FLAIR,GAN-swinpix2pix-2D+3D-post-FLAIR,12,0.4056815215958085,0.5220945683435413,19.0,0.12939453125
tumor,preop,REAL_FLAIR,GAN-swinpix2pix-2D-FLAIR,12,0.39013867316515566,0.5220945683435413,21.0,0.17626953125
tumor,preop,REAL_FLAIR,GAN-swinpix2pix-3D-FLAIR,12,0.2627969741401232,0.5220945683435413,10.0,0.02099609375
tumor,preop,REAL_FLAIR,ResViT-2.5D-FLAIR,12,0.4090523942345386,0.5220945683435413,25.0,0.30126953125
tumor,preop,REAL_FLAIR,ResViT-2D+3D-refine-FLAIR,12,0.41403190440527254,0.5220945683435413,20.0,0.1513671875
tumor,preop,REAL_FLAIR,ResViT-2D-FLAIR,12,0.4411883758162383,0.5220945683435413,27.0,0.38037109375
tumor,preop,REAL_FLAIR,ResViT-3D-FLAIR,12,0.4414827384276145,0.5220945683435413,29.0,0.4697265625
tumor,preop,REAL_FLAIR,SynDiff-2.5D-FLAIR,12,0.32840503054852016,0.5220945683435413,16.0,0.0771484375
tumor,preop,REAL_FLAIR,SynDiff-2D-FLAIR,12,0.4461051435454551,0.5220945683435413,35.0,0.791015625
tumor,preop,REAL_FLAIR,SynDiff-3D+3D-refine-FLAIR,12,0.4257420679947286,0.5220945683435413,28.0,0.423828125
tumor,preop,REAL_FLAIR,SynDiff-3D-FLAIR,12,0.2903651137219224,0.5220945683435413,7.0,0.00927734375
tumor,postop,ResViT-3D-FLAIR,GAN-cut-2.5D-FLAIR,3,0.09214033324429631,0.28009279023901096,0.0,0.25
tumor,postop,ResViT-3D-FLAIR,GAN-cut-2D+3D-post-FLAIR,3,0.039681106767670074,0.28009279023901096,0.0,0.25
tumor,postop,ResViT-3D-FLAIR,GAN-cut-2D-FLAIR,3,0.0044907123902837316,0.28009279023901096,0.0,0.25
tumor,postop,ResViT-3D-FLAIR,GAN-cut-3D-FLAIR,3,0.07873847805210261,0.28009279023901096,0.0,0.25
tumor,postop,ResViT-3D-FLAIR,GAN-cyclegan-2.5D-FLAIR,3,0.10334660906509535,0.28009279023901096,1.0,0.5
tumor,postop,ResViT-3D-FLAIR,GAN-cyclegan-2D+3D-post-FLAIR,3,0.03954092753327318,0.28009279023901096,0.0,0.25
tumor,postop,ResViT-3D-FLAIR,GAN-cyclegan-2D-FLAIR,3,0.09928502063260854,0.28009279023901096,0.0,0.25
tumor,postop,ResViT-3D-FLAIR,GAN-cyclegan-3D-FLAIR,3,0.15428045372797466,0.28009279023901096,1.0,0.5
tumor,postop,ResViT-3D-FLAIR,GAN-pix2pix-2.5D-FLAIR,3,0.1281809748761735,0.28009279023901096,1.0,0.5
tumor,postop,ResViT-3D-FLAIR,GAN-pix2pix-2D+3D-post-FLAIR,3,0.05467465763365612,0.28009279023901096,0.0,0.25
tumor,postop,ResViT-3D-FLAIR,GAN-pix2pix-2D-FLAIR,3,0.049206181968470854,0.28009279023901096,0.0,0.25
tumor,postop,ResViT-3D-FLAIR,GAN-pix2pix-3D-FLAIR,3,0.11805475396193066,0.28009279023901096,1.0,0.5
tumor,postop,ResViT-3D-FLAIR,GAN-swinpix2pix-2.5D-FLAIR,3,0.14370092763943468,0.28009279023901096,0.0,0.25
tumor,postop,ResViT-3D-FLAIR,GAN-swinpix2pix-2D+3D-post-FLAIR,3,0.22540027765354656,0.28009279023901096,2.0,0.75
tumor,postop,ResViT-3D-FLAIR,GAN-swinpix2pix-2D-FLAIR,3,0.2319613179154587,0.28009279023901096,2.0,0.75
tumor,postop,ResViT-3D-FLAIR,GAN-swinpix2pix-3D-FLAIR,3,0.04702907403886553,0.28009279023901096,0.0,0.25
tumor,postop,ResViT-3D-FLAIR,REAL_FLAIR,3,0.24352404842440198,0.28009279023901096,3.0,1.0
