set,class,phase,n_studies_total,n_gt_present,n_pred_when_gt_absent,n_dice_evaluable,dice_mean,dice_sd,dice_median,dice_min,dice_max,hd95_mean,hd95_median,nsd_mean,nsd_median
GAN-pix2pix-3D-FLAIR,cavity,preop,12,3,1,3,0.0,0.0,0.0,0.0,0.0,52.30679258690896,52.30679258690896,0.0,0.0
GAN-pix2pix-3D-FLAIR,lesion,preop,12,12,0,12,0.2835094745138151,0.21504922110313177,0.2795959019356182,0.0,0.6574625859511932,18.28403722046769,13.436096763000844,0.2893917626022693,0.20560389645925684
GAN-swinpix2pix-2.5D-FLAIR,tumor,all,19,15,4,15,0.29508562125367505,0.22126710184994192,0.24201858718158617,0.0,0.6681637110294231,13.658796185490328,14.043912511228847,0.3300742760971733,0.22118380062305296
GAN-swinpix2pix-2.5D-FLAIR,tumor,postop,7,3,4,3,0.14370092763943468,0.050654778241098715,0.17042048471353943,0.08528057308545113,0.17540172511931346,20.14205372700521,19.493256201080918,0.20816263638916588,0.2187061237714656
GAN-swinpix2pix-2.5D-FLAIR,cavity,all,19,9,2,9,0.0,0.0,0.0,0.0,0.0,27.114494537944257,27.114494537944257,0.003289473684210526,0.003289473684210526
GAN-swinpix2pix-2.5D-FLAIR,cavity,postop,7,6,0,6,0.0,0.0,0.0,0.0,0.0,27.114494537944257,27.114494537944257,0.003289473684210526,0.003289473684210526
GAN-swinpix2pix-2.5D-FLAIR,lesion,all,19,19,0,19,0.279939142034103,0.2212098279987869,0.29745898240833973,0.0,0.6681637110294231,15.277838661747781,14.046917655572749,0.28668684597186006,0.22348246166771688
GAN-swinpix2pix-2.5D-FLAIR,lesion,postop,7,7,0,7,0.13623677589597719,0.1023578040522918,0.1589700996677741,0.0,0.3078829604130809,21.133463898883036,18.657188184540964,0.16217366824702803,0.19200695047784536
GAN-swinpix2pix-2.5D-FLAIR,tumor,preop,12,12,0,12,0.33293179465723505,0.23244863390751436,0.29221098596268835,0.0,0.6681637110294231,11.713818923035863,10.487211526368377,0.36664776800957555,0.25686454658417274
GAN-swinpix2pix-2.5D-FLAIR,cavity,preop,12,3,2,3,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan
GAN-swinpix2pix-2.5D-FLAIR,lesion,preop,12,12,0,12,0.363765522281343,0.23141276173184916,0.32166024636106294,0.0,0.6681637110294231,11.1789009957531,10.178262806945071,0.3738460703792425,0.2704790104627459
GAN-swinpix2pix-2D+3D-post-FLAIR,tumor,all,19,15,4,15,0.3696252728073562,0.21035053808614013,0.32002348796241925,0.044475011462631824,0.7379217460372276,13.268663582547596,12.997269252187822,0.34289418784039,0.2691771269177127
GAN-swinpix2pix-2D+3D-post-FLAIR,tumor,postop,7,3,4,3,0.22540027765354656,0.17233691221124747,0.2441025641025641,0.044475011462631824,0.38762325739544373,20.600757828703248,18.877519310789882,0.22140332161792056,0.2566093159882501
GAN-swinpix2pix-2D+3D-post-FLAIR,cavity,all,19,9,2,9,0.0010911074740861974,0.003273322422258592,0.0,0.0,0.009819967266775777,46.45920010779526,46.45920010779526,0.051843738590726544,0.051843738590726544
GAN-swinpix2pix-2D+3D-post-FLAIR,cavity,postop,7,6,0,6,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan
GAN-swinpix2pix-2D+3D-post-FLAIR,lesion,all,19,19,0,19,0.3505378788986273,0.20345200422334916,0.3020922730904679,0.002687054156936758,0.7379217460372276,14.337941453057951,13.889893401949221,0.3098953454119167,0.2614935822637106
GAN-swinpix2pix-2D+3D-post-FLAIR,lesion,postop,7,7,0,7,0.21672724798763102,0.15478607884987758,0.21460310494267376,0.002687054156936758,0.5037083138841346,20.139035787408545,18.417265053217005,0.19188229750290983,0.18703778405270943
GAN-swinpix2pix-2D+3D-post-FLAIR,tumor,preop,12,12,0,12,0.4056815215958085,0.2093408870720196,0.32107282574316187,0.12995994582600928,0.7379217460372276,11.435640021008682,10.316079469170775,0.37326690439600735,0.270163101899198
GAN-swinpix2pix-2D+3D-post-FLAIR,cavity,preop,12,3,2,3,0.0032733224222585926,0.005669560744906308,0.0,0.0,0.009819967266775777,46.45920010779526,46.45920010779526,0.051843738590726544,0.051843738590726544
GAN-swinpix2pix-2D+3D-post-FLAIR,lesion,preop,12,12,0,12,0.42859408026337514,0.19137452611404168,0.37126287548392534,0.19198062735822494,0.7379217460372276,10.9539697580201,10.042477165420749,0.3787362900255041,0.2703987241162058
GAN-swinpix2pix-2D-FLAIR,tumor,all,19,15,4,15,0.35850320211521625,0.19293492242579283,0.3017051776334515,0.04375359815774323,0.7386496749694278,13.492364294625908,12.104380420940977,0.3238016592797908,0.2685609532538955
GAN-swinpix2pix-2D-FLAIR,tumor,postop,7,3,4,3,0.2319613179154587,0.17891974054856916,0.2522704339051463,0.04375359815774323,0.39985992168348666,20.367447834328058,21.211634635925293,0.20717340069809942,0.2641649637748467
GAN-swinpix2pix-2D-FLAIR,cavity,all,19,9,2,9,0.0,0.0,0.0,0.0,0.0,39.74049122816492,39.74049122816492,0.0,0.0
GAN-swinpix2pix-2D-FLAIR,cavity,postop,7,6,0,6,0.0,0.0,0.0,0.0,0.0,39.74049122816492,39.74049122816492,0.0,0.0
GAN-swinpix2pix-2D-FLAIR,lesion,all,19,19,0,19,0.34167860774264625,0.1899415219167286,0.29780133228317024,0.0,0.7386496749694278,15.06179014648585,13.571558694269626,0.2974114095400435,0.2641649637748467
GAN-swinpix2pix-2D-FLAIR,lesion,postop,7,7,0,7,0.2081898050047367,0.1599828233131227,0.1907233946507166,0.0,0.5111371006326085,21.54462669464208,20.62432775809792,0.18705474058533048,0.16468590831918506
