set,study,cls,gt_present,gt_vox,pred_vox,dice,nsd
FLOOR_US_HISTM,ReMIND-077-pre,tumor,1,6841,7630,0.4370119549443715,0.43677573278800275
FLOOR_US_HISTM,ReMIND-077-pre,cavity,1,5265,4,0.0,0.0
FLOOR_US_HISTM,ReMIND-079-post,lesion,1,7260,0,0.0,nan
FLOOR_US_HISTM,ReMIND-079-post,tumor,1,7260,0,0.0,nan
FLOOR_US_HISTM,ReMIND-079-post,cavity,0,0,0,nan,nan
FLOOR_US_HISTM,ReMIND-079-pre,lesion,1,21137,12794,0.2622380713801538,0.2517059855722363
FLOOR_US_HISTM,ReMIND-079-pre,tumor,1,14068,12767,0.27590832867523757,0.2432465172622653
FLOOR_US_HISTM,ReMIND-079-pre,cavity,1,7069,27,0.0,0.0
FLOOR_US_HISTM,ReMIND-087-post,lesion,1,8781,4266,0.1657085920134897,0.15015548645046645
FLOOR_US_HISTM,ReMIND-087-post,tumor,0,0,4159,nan,nan
FLOOR_US_HISTM,ReMIND-087-post,cavity,1,8781,107,0.012826282628262827,0.02060931899641577
FLOOR_US_HISTM,ReMIND-087-pre,lesion,1,23186,159,0.0,0.0
FLOOR_US_HISTM,ReMIND-087-pre,tumor,1,11505,159,0.0,0.0
FLOOR_US_HISTM,ReMIND-087-pre,cavity,1,11681,0,0.0,nan
FLOOR_US_HISTM,ReMIND-091-post,lesion,1,7894,2288,0.2753879395010803,0.3713680387409201
FLOOR_US_HISTM,ReMIND-091-post,tumor,0,0,2084,nan,nan
FLOOR_US_HISTM,ReMIND-091-post,cavity,1,7894,204,0.02840207458631761,0.14974619289340102
FLOOR_US_HISTM,ReMIND-091-pre,lesion,1,25347,14807,0.6570702794242168,0.5553650521503072
FLOOR_US_HISTM,ReMIND-091-pre,tumor,1,25347,14807,0.6570702794242168,0.5553650521503072
FLOOR_US_HISTM,ReMIND-091-pre,cavity,0,0,0,nan,nan
FLOOR_US_HISTM,ReMIND-096-post,lesion,1,2166,2246,0.0,0.0
FLOOR_US_HISTM,ReMIND-096-post,tumor,0,0,2025,nan,nan
FLOOR_US_HISTM,ReMIND-096-post,cavity,1,2166,221,0.0,0.0
FLOOR_US_HISTM,ReMIND-096-pre,lesion,1,18774,15971,0.6961577205353289,0.48938445089353905
FLOOR_US_HISTM,ReMIND-096-pre,tumor,1,18774,15757,0.7001824447597811,0.5061425061425061
FLOOR_US_HISTM,ReMIND-096-pre,cavity,0,0,214,nan,nan
FLOOR_US_HISTM,ReMIND-102-pre,lesion,1,7693,13456,0.6221570759846802,0.5253012048192771
FLOOR_US_HISTM,ReMIND-102-pre,tumor,1,7693,13016,0.6269737795161524,0.554655107425556
FLOOR_US_HISTM,ReMIND-102-pre,cavity,0,0,440,nan,nan
FLOOR_US_HISTM,ReMIND-107-post,lesion,1,4500,15,0.0022148394241417496,0.0008787346221441124
FLOOR_US_HISTM,ReMIND-107-post,tumor,1,3621,0,0.0,nan
FLOOR_US_HISTM,ReMIND-107-post,cavity,1,879,15,0.0,0.0
FLOOR_US_HISTM,ReMIND-107-pre,lesion,1,57631,3905,0.109269370774831,0.10226043973018897
FLOOR_US_HISTM,ReMIND-107-pre,tumor,1,57631,3313,0.09244552375951694,0.10384313725490196
FLOOR_US_HISTM,ReMIND-107-pre,cavity,0,0,592,nan,nan
FLOOR_US_HISTM,ReMIND-109-post,lesion,1,3408,2010,0.0,0.0
FLOOR_US_HISTM,ReMIND-109-post,tumor,0,0,1862,nan,nan
FLOOR_US_HISTM,ReMIND-109-post,cavity,1,3408,148,0.0,0.0
FLOOR_US_HISTM,ReMIND-109-pre,lesion,1,10361,8435,0.6466269419025324,0.5262249082667818
FLOOR_US_HISTM,ReMIND-109-pre,tumor,1,10361,6951,0.5697781885397413,0.4198524480214621
FLOOR_US_HISTM,ReMIND-109-pre,cavity,0,0,1484,nan,nan
