phase,roi,dilation_mm,comparison,metric,n,mean_A,mean_B,stat,p
all,lesion,0.0,CUT-2.5D-T2  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),psnr,20,13.974125030882993,15.36103028228957,19.0,0.0005855560302734375
all,lesion,0.0,CUT-2.5D-T2  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),lpips,20,0.11231016636801942,0.10499907631036795,58.0,0.082550048828125
all,lesion,0.0,pix2pix-3D-T2+FLAIR  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),ssim,20,0.7289231996408776,0.7566241829868274,12.0,0.000133514404296875
all,lesion,0.0,pix2pix-3D-T2+FLAIR  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),psnr,20,14.441125439832586,15.36103028228957,39.0,0.012079238891601562
all,lesion,0.0,pix2pix-3D-T2+FLAIR  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),lpips,20,0.10364813078446741,0.10499907631036795,88.0,0.5458755493164062
all,lesion,0.0,ResViT-2D-T2+FLAIR  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),ssim,20,0.7271062759803913,0.7566241829868274,24.0,0.0014324188232421875
all,lesion,0.0,ResViT-2D-T2+FLAIR  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),psnr,20,13.960254402318899,15.36103028228957,18.0,0.0004825592041015625
all,lesion,0.0,ResViT-2D-T2+FLAIR  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),lpips,20,0.10970309659451434,0.10499907631036795,81.0,0.38837623596191406
all,lesion,0.0,SynDiff-2D-T2+FLAIR  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),ssim,20,0.7230773036370108,0.7566241829868274,35.0,0.0072956085205078125
all,lesion,0.0,SynDiff-2D-T2+FLAIR  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),psnr,20,14.124975186264843,15.36103028228957,24.0,0.0014324188232421875
all,lesion,0.0,SynDiff-2D-T2+FLAIR  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),lpips,20,0.10937852476345888,0.10499907631036795,98.0,0.8123550415039062
all,lesion,0.0,SynDiff-2D-T2  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),ssim,20,0.7249449958360475,0.7566241829868274,37.0,0.009435653686523438
all,lesion,0.0,SynDiff-2D-T2  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),psnr,20,14.198622139976973,15.36103028228957,30.0,0.00365447998046875
all,lesion,0.0,SynDiff-2D-T2  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),lpips,20,0.10406815762465779,0.10499907631036795,84.0,0.4523754119873047
all,lesion,0.0,CUT-2D-T2+FLAIR  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),ssim,20,0.7205268050334818,0.7566241829868274,2.0,5.7220458984375e-06
all,lesion,0.0,CUT-2D-T2+FLAIR  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),psnr,20,13.663603211489388,15.36103028228957,12.0,0.000133514404296875
all,lesion,0.0,CUT-2D-T2+FLAIR  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),lpips,20,0.10319317992554296,0.10499907631036795,84.0,0.4523754119873047
all,lesion,0.0,SynDiff-3D+3D-refine-T2  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),ssim,20,0.7223594379446683,0.7566241829868274,21.0,0.000850677490234375
all,lesion,0.0,SynDiff-3D+3D-refine-T2  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),psnr,20,14.265390825880633,15.36103028228957,19.0,0.0005855560302734375
all,lesion,0.0,SynDiff-3D+3D-refine-T2  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),lpips,20,0.09831427514872387,0.10499907631036795,67.0,0.16495704650878906
all,lesion,0.0,CycleGAN-3D-T2+FLAIR  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),ssim,20,0.719648025232309,0.7566241829868274,3.0,9.5367431640625e-06
all,lesion,0.0,CycleGAN-3D-T2+FLAIR  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),psnr,20,14.256667398422632,15.36103028228957,12.0,0.000133514404296875
all,lesion,0.0,CycleGAN-3D-T2+FLAIR  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),lpips,20,0.09841164873378487,0.10499907631036795,72.0,0.2305126190185547
all,lesion,0.0,SynDiff-3D-T2+FLAIR  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),ssim,20,0.7188646453381955,0.7566241829868274,37.0,0.009435653686523438
all,lesion,0.0,SynDiff-3D-T2+FLAIR  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),psnr,20,14.110712135953003,15.36103028228957,37.0,0.009435653686523438
all,lesion,0.0,SynDiff-3D-T2+FLAIR  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),lpips,20,0.10866388664377902,0.10499907631036795,100.0,0.8694877624511719
all,lesion,0.0,ResViT-3D-T2  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),ssim,20,0.7203000186922888,0.7566241829868274,40.0,0.013616561889648438
all,lesion,0.0,ResViT-3D-T2  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),psnr,20,14.3099626730583,15.36103028228957,50.0,0.039989471435546875
all,lesion,0.0,ResViT-3D-T2  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),lpips,20,0.09766817560999264,0.10499907631036795,85.0,0.47490501403808594
all,lesion,0.0,SynDiff-2.5D-T2  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),ssim,20,0.7173799420339165,0.7566241829868274,26.0,0.0019855499267578125
all,lesion,0.0,SynDiff-2.5D-T2  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),psnr,20,14.013245082157724,15.36103028228957,20.0,0.0007076263427734375
all,lesion,0.0,SynDiff-2.5D-T2  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),lpips,20,0.10686916305170358,0.10499907631036795,98.0,0.8123550415039062
all,lesion,0.0,SwinPix2Pix-3D-T2  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),ssim,20,0.7222871946907513,0.7566241829868274,9.0,6.29425048828125e-05
all,lesion,0.0,SwinPix2Pix-3D-T2  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),psnr,20,14.224096438239153,15.36103028228957,31.0,0.0042209625244140625
all,lesion,0.0,SwinPix2Pix-3D-T2  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),lpips,20,0.10219938011165756,0.10499907631036795,66.0,0.15364646911621094
all,lesion,0.0,ResViT-3D-T2+FLAIR  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),ssim,20,0.7135658268376431,0.7566241829868274,28.0,0.002712249755859375
all,lesion,0.0,ResViT-3D-T2+FLAIR  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),psnr,20,14.184113275775639,15.36103028228957,40.0,0.013616561889648438
