method,family,backbone,architecture,target,channel,roi,dilation_mm,phase,n_subjects,ssim_mean,ssim_sd,ssim_ci95,ssim_median,ssim_min,ssim_max,ssim_n,psnr_mean,psnr_sd,psnr_ci95,psnr_median,psnr_min,psnr_max,psnr_n,mae_mean,mae_sd,mae_ci95,mae_median,mae_min,mae_max,mae_n,lpips_mean,lpips_sd,lpips_ci95,lpips_median,lpips_min,lpips_max,lpips_n
ResViT-2.5D-T2+FLAIR,ResViT,ResViT,2.5D,t2_flair,flair,lesion,5.0,post,8,0.6159296302615983,0.04691570131284612,0.03251092233158738,0.621774610898881,0.5524389664466852,0.6745154208820336,8,14.475746985445323,1.7999585380508742,1.2473076303481896,14.75541771004905,11.895998280319214,16.533496517815585,8,0.138692625798285,0.034568264825616965,0.023954585382605236,0.13841493427753448,0.09853041917085648,0.18963907659053802,8,0.1484217446022645,0.01715090763781499,0.011884972632319066,0.1530900695467029,0.12377638624686944,0.1691024805254796,8
SwinPix2Pix-2D+3D-post-T2+FLAIR,SwinPix2Pix,GAN,2D+3D-post,t2_flair,flair,lesion,5.0,post,8,0.6077195581902745,0.024953907009437136,0.01729217532620209,0.6098696839743099,0.5641215119152331,0.6520618531841919,8,14.174364451626818,1.6985523391796005,1.1770367196894846,14.080776842198699,11.876296581227454,17.391895354082436,8,0.14554446190595627,0.03204897969000322,0.022208809851532986,0.1574523150920868,0.09416478127241135,0.18126949667930603,8,0.21843862408674874,0.03370467977153308,0.023356151471688652,0.2125296385069801,0.169011896898921,0.2821719360072166,8
CycleGAN-2D+3D-post-T2+FLAIR,CycleGAN,GAN,2D+3D-post,t2_flair,flair,lesion,5.0,post,8,0.607641253929036,0.023595331986406724,0.016350730866897322,0.6082948082515922,0.5675992106203225,0.6429375043174029,8,14.352320795873439,1.7019620721285198,1.1793995440738965,13.972343939522332,11.874664031760139,16.977524931307443,8,0.14195778220891953,0.0366523770771024,0.025398801490268966,0.1552952527999878,0.09344259649515152,0.18921010196208954,8,0.23089265591722302,0.03347081686800064,0.023194092747632,0.22625267458856818,0.1860003302756109,0.30124474107287824,8
pix2pix-2D+3D-post-T2+FLAIR,pix2pix,GAN,2D+3D-post,t2_flair,flair,lesion,5.0,post,8,0.6046201781752714,0.024193354271212015,0.01676513916752609,0.602179867347991,0.5650558211033982,0.6479277038481834,8,14.506590741291387,1.7882386697828043,1.2391861759877636,13.84341547294963,12.2952816028264,17.593700919106258,8,0.13850994408130646,0.03742340003452452,0.025933093140679778,0.15000048279762268,0.09314242750406265,0.17730581760406494,8,0.22825549650025895,0.03339543619433559,0.023141856605823418,0.22363631263933081,0.186288120029004,0.298578119603917,8
ResViT-2D-T2+FLAIR,ResViT,ResViT,2D,t2_flair,flair,lesion,5.0,post,8,0.6041429145922274,0.057282841970835364,0.039694984283150755,0.6187657454383761,0.5222660630448281,0.6838215371349101,8,13.776944876391992,1.0853767747181697,0.7521277319946894,13.822296829768462,12.363642835129307,15.712503498708884,8,0.1505602914839983,0.027901345135671066,0.019334645742666114,0.14961928129196167,0.10004259645938873,0.18562376499176025,8,0.15351492695302882,0.022252785758837938,0.015420393796158423,0.15750174388229687,0.11783060902043392,0.18489891816588008,8
CUT-2D+3D-post-T2+FLAIR,CUT,GAN,2D+3D-post,t2_flair,flair,lesion,5.0,post,8,0.6006725946986969,0.02152542988100906,0.014916361888080702,0.6060736323060875,0.5666842376792067,0.6324672948341121,8,14.460610010693149,1.8946610308908969,1.3129331097329908,14.011366171035867,11.637736346720198,17.823305816439166,8,0.14058751612901688,0.03817324735751153,0.026452710825079696,0.15232887119054794,0.09107661247253418,0.19384163618087769,8,0.22466316743959383,0.03151147767125447,0.02183633995562146,0.222429780040514,0.1829722692307673,0.29083354747854173,8
SynDiff-3D+3D-refine-T2+FLAIR,SynDiff,SynDiff,3D+3D-refine,t2_flair,flair,lesion,5.0,post,8,0.588902960030437,0.026280322562720948,0.01821133440995241,0.5899215527826157,0.5518197097619567,0.6280991642314993,8,12.778003174521373,1.1735502641348257,0.8132288428363392,12.459745240962109,11.417598559234962,14.590115357771477,8,0.16713161766529083,0.025622248390049136,0.017755312274132847,0.17365605384111404,0.12822797894477844,0.2018612176179886,8,0.15706783918280648,0.026456936448259295,0.018333721588545966,0.16294011183013857,0.09908714661231408,0.18250749768181282,8
CycleGAN-2.5D-T2+FLAIR,CycleGAN,GAN,2.5D,t2_flair,flair,lesion,5.0,post,8,0.5867044758436849,0.03250317073521264,0.022523548188194336,0.5875700439812848,0.5322391316854482,0.6301044931725548,8,14.490535497463561,2.019773514544635,1.3996316376235873,14.286685409222489,11.065933689227474,17.06485293935112,8,0.14354905765503645,0.04473872230101595,0.031002352842256792,0.14242269843816757,0.09539856761693954,0.21759025752544403,8,0.23261600748531386,0.03746941290691584,0.025964978434487758,0.23818044393338303,0.17285322319520147,0.2981768026947975,8
CycleGAN-2D-T2+FLAIR,CycleGAN,GAN,2D,t2_flair,flair,lesion,5.0,post,8,0.5861824665823242,0.03379089953610249,0.023415898720284004,0.5904989555173799,0.5243057482429778,0.6242605076602571,8,14.490166795276899,2.174010123535899,1.506512154706029,14.24898123566858,10.961718890582219,17.646103025228204,8,0.1446636412292719,0.04685142693060976,0.03246638245708219,0.14391470700502396,0.09433750808238983,0.22062064707279205,8,0.2338674987720059,0.03322623527724552,0.02302460635228319,0.23327632259358377,0.18245447152539304,0.2962652603164315,8
SynDiff-2D-T2+FLAIR,SynDiff,SynDiff,2D,t2_flair,flair,lesion,5.0,post,8,0.5846731024694605,0.027717538156660105,0.019207274004603814,0.5897191147856446,0.5422623361658794,0.6253628647535114,8,12.639919363102171,1.0589120274771309,0.7337885978028934,12.483263402393003,11.124467739058835,14.041737575711558,8,0.17049337550997734,0.021346534305695154,0.014792393579140545,0.17483669519424438,0.13374973833560944,0.19350537657737732,8,0.1522638358603417,0.008686838659255004,0.006019672072572016,0.149076890882129,0.14211491255780445,0.1630279575051232,8
