comparison,metric,n,mean_A,mean_B,stat,p,note
SwinPix2Pix-2D+3D-post-T2+FLAIR  vs  BEST(pix2pix-2D+3D-post-T2),lpips,20,0.2428708756328596,0.2515127677885552,22.0,0.001016616821289,
SwinPix2Pix-3D-T2  vs  BEST(pix2pix-2D+3D-post-T2),ssim,30,0.7853026542123428,0.8138262320340097,0.0,1.862645149230957e-09,
SwinPix2Pix-3D-T2  vs  BEST(pix2pix-2D+3D-post-T2),psnr,30,14.245009181270865,14.961754186515428,4.0,1.30385160446167e-08,
SwinPix2Pix-3D-T2  vs  BEST(pix2pix-2D+3D-post-T2),lpips,30,0.2413217389986492,0.2446324750940813,142.0,0.0635564886033535,
SwinPix2Pix-3D-T2+FLAIR  vs  BEST(pix2pix-2D+3D-post-T2),ssim,20,0.7829462541880573,0.8083387407697126,0.0,1.9073486328125e-06,
SwinPix2Pix-3D-T2+FLAIR  vs  BEST(pix2pix-2D+3D-post-T2),psnr,20,14.063561303448257,14.850157568116362,12.0,0.0001335144042968,
SwinPix2Pix-3D-T2+FLAIR  vs  BEST(pix2pix-2D+3D-post-T2),lpips,20,0.253871407738471,0.2515127677885552,88.0,0.5458755493164062,
ResViT-2D-T2  vs  BEST(pix2pix-2D+3D-post-T2),ssim,30,0.7197601249999205,0.8138262320340097,15.0,2.551823854446411e-07,
ResViT-2D-T2  vs  BEST(pix2pix-2D+3D-post-T2),psnr,30,15.23221214672147,14.961754186515428,163.0,0.1579476743936538,
ResViT-2D-T2  vs  BEST(pix2pix-2D+3D-post-T2),lpips,30,0.1830522452664315,0.2446324750940813,1.0,3.725290298461914e-09,
ResViT-2.5D-T2  vs  BEST(pix2pix-2D+3D-post-T2),ssim,30,0.7229053623114197,0.8138262320340097,16.0,3.1478703022003174e-07,
ResViT-2.5D-T2  vs  BEST(pix2pix-2D+3D-post-T2),psnr,30,15.40746933771084,14.961754186515428,97.0,0.0043382328003644,
ResViT-2.5D-T2  vs  BEST(pix2pix-2D+3D-post-T2),lpips,30,0.1726203656489028,0.2446324750940813,3.0,9.313225746154784e-09,
ResViT-2D+3D-refine-T2  vs  BEST(pix2pix-2D+3D-post-T2),ssim,30,0.7307141683475452,0.8138262320340097,25.0,1.6838312149047852e-06,
