method,family,backbone,architecture,target,channel,n,ssim_mean,ssim_sd,ssim_ci95,ssim_median,ssim_min,ssim_max,psnr_mean,psnr_sd,psnr_ci95,psnr_median,psnr_min,psnr_max,mae_mean,mae_sd,mae_ci95,mae_median,mae_min,mae_max,lpips_mean,lpips_sd,lpips_ci95,lpips_median,lpips_min,lpips_max,ssim_gauss_mean,ssim_gauss_sd,ssim_gauss_ci95,ssim_gauss_median,ssim_gauss_min,ssim_gauss_max
SwinPix2Pix-2.5D-T2+FLAIR,SwinPix2Pix,GAN,2.5D,t2_flair,t2,20,0.7883777264394755,0.0348099282174106,0.0152561236940595,0.7927364957705407,0.6998929300631391,0.8378412201846084,14.511980260222462,1.321789389118354,0.5792997414972858,14.836195576735207,12.061386210200524,16.38937407165381,0.1250476829707622,0.027440437458322,0.0120263019638713,0.1204092726111412,0.0939690545201301,0.1930237859487533,0.2475967529184564,0.0332554277712179,0.0145748338349864,0.2462339236504501,0.1972468014356199,0.3334318732514101,0.7916068745583262,0.0344593291130922,0.0151024668617587,0.7954460106861411,0.7013932232162315,0.8432463342322771
CycleGAN-3D-T2+FLAIR,CycleGAN,GAN,3D,t2_flair,t2,20,0.7875089519909348,0.0281212594406871,0.0123246853535677,0.7901927461269886,0.7444612723359932,0.8329010001673505,14.253924525775622,1.0253491536909922,0.4493790800316878,14.515096160058723,12.287571025820409,15.558380507737084,0.1304664801806211,0.0253348128017284,0.0111034712698917,0.1266346201300621,0.1035472974181175,0.1863282024860382,0.2303256710619954,0.0254258354792093,0.0111433637171826,0.2307416462631256,0.1910975039066685,0.279592017917072,0.7890410787435609,0.0270904946406764,0.0118729327618866,0.7896279314044726,0.749681542844417,0.8334673179735139
CUT-2D-T2+FLAIR,CUT,GAN,2D,t2_flair,t2,20,0.7873010059614429,0.0366094834748212,0.0160448135594876,0.7962480959472161,0.7033314383271072,0.8384225060109118,14.49688706710286,1.1063764587661629,0.4848908622193,14.743370874150084,12.395909503437682,16.16016096070481,0.1272901207208633,0.0242742380253398,0.0106386538800273,0.1249700263142585,0.0985014736652374,0.1843235492706298,0.2451649243904844,0.0333643878609259,0.014622587699801,0.2396134082307507,0.1947196283387941,0.3202864580294665,0.7909473153511895,0.0357206044266449,0.0156552451402901,0.7983265011870124,0.7059085835315165,0.842230314794057
SwinPix2Pix-2D-T2+FLAIR,SwinPix2Pix,GAN,2D,t2_flair,t2,20,0.787216237161523,0.0278506391417587,0.0122060807782066,0.7893917725718033,0.7301781171244347,0.8346202624850354,14.606403216215408,1.1932557325819682,0.5229673827885399,14.925568228765766,12.259518621984276,16.1815320241634,0.1218903623521328,0.0251776956703696,0.0110346116510067,0.1169036105275154,0.0967753082513809,0.182277500629425,0.2449791521613747,0.0266992491946913,0.0117014618849171,0.2494474488827917,0.2022979926972926,0.3037126826889375,0.7922040136155581,0.0277972056055952,0.0121826624984552,0.7953698314694817,0.7318495382913482,0.8412598019035509
SwinPix2Pix-3D-T2,SwinPix2Pix,GAN,3D,t2,t2,30,0.7853026542123428,0.0432095708190546,0.0154623463366392,0.7863352850933554,0.7032236066859392,0.9054742561946258,14.245009181270865,0.9585412866259672,0.3430095941902439,14.406653031922144,12.362359939917477,15.619773474401155,0.1306783561905225,0.0213000341080009,0.0076221193156332,0.1268146336078643,0.1033418700098991,0.1838357001543045,0.2413217389986492,0.0367510289417766,0.013151186807785,0.2397963957479206,0.1377572485142284,0.312177663340288,0.7864671220048632,0.0419654756390073,0.0150171525940263,0.7863761287597603,0.7077553986155878,0.9030430571866004
SwinPix2Pix-2D-T2,SwinPix2Pix,GAN,2D,t2,t2,30,0.78451274154942,0.0379593983591682,0.0135835962504187,0.7807189886949331,0.70074837387846,0.8889518821774038,14.919530790689445,1.1292333885371073,0.4040909783986492,15.086977532439503,12.389221341971508,16.633245458156157,0.1188844243685404,0.0222114517856642,0.0079482659429252,0.1132452003657817,0.088609904050827,0.1708763390779495,0.2501968484076407,0.029597542174299,0.010591344443775,0.2490596540091593,0.1807761251926422,0.3167107692536186,0.7923887104601468,0.0381629092669149,0.013656421693468,0.7889568543707457,0.709561206418256,0.8956548911999362
CUT-3D-T2,CUT,GAN,3D,t2,t2,30,0.7831710339824449,0.0438248639543548,0.0156825261573648,0.7861640718711085,0.7080344370255292,0.9028397441545162,14.265253464971313,1.0538350559556884,0.3771100315972777,14.374943204397743,11.875000856799057,15.935198517527889,0.1316232375800609,0.0248397925879802,0.0088888056198017,0.1260775923728943,0.0988216325640678,0.1964704841375351,0.2022551510791726,0.0314881169993899,0.0112678779562994,0.2005839958957619,0.122366080350346,0.2664271753143381,0.783761521356748,0.0428406684595122,0.0153303363226649,0.7865838255863774,0.710080563625152,0.9004813479182411
SwinPix2Pix-3D-T2+FLAIR,SwinPix2Pix,GAN,3D,t2_flair,t2,20,0.7829462541880573,0.0277656711563221,0.0121688419167025,0.7869867607429895,0.7376886333105023,0.8291998767634098,14.063561303448257,0.9468246313482394,0.4149641907393049,14.273800723085373,12.330346747549006,15.480508017832287,0.1311339199542999,0.0230155366912476,0.0100870036977329,0.1290878690779209,0.1005887910723686,0.1770654320716858,0.253871407738471,0.027948000729085,0.0122487513752277,0.2545866611655111,0.2149157786557266,0.3143866877345478,0.7844312832309654,0.0267739853835583,0.0117342164638595,0.7859963872586923,0.7368258450334203,0.8280162409319314
pix2pix-3D-T2,pix2pix,GAN,3D,t2,t2,30,0.7819806636640235,0.0434305143161329,0.0155414099516647,0.7832298754931036,0.6874749050746433,0.9066691705832955,14.099068211371751,0.9501440491175652,0.3400046813395781,14.198979085869263,11.981976625504762,15.571185844407632,0.1337721285720666,0.0204152574626148,0.0073055060593058,0.128521017730236,0.109213188290596,0.1799384802579879,0.2457699673348378,0.0380729762376592,0.0136242395722597,0.2449855260168894,0.147690212726593,0.3111461330862606,0.7835968067078226,0.0422825393987524,0.0151306124033011,0.7822686998383415,0.6918298703205683,0.9048176266918472
pix2pix-3D-T2+FLAIR,pix2pix,GAN,3D,t2_flair,t2,20,0.7803816634628585,0.0332711724697373,0.0145817342533566,0.7852858988137987,0.7017252039852093,0.8312685719804929,14.128557544452102,0.9797687291996948,0.4294025782209437,14.341925116737404,12.499513523012885,15.626977126655998,0.13199954777956,0.0232269429015571,0.010179656554528,0.1293759047985077,0.1001441180706024,0.1811858415603637,0.2596624443365855,0.0269653855949624,0.0118181013050465,0.2596009635938242,0.2182793861643953,0.3185562473886153,0.7821693202327289,0.0325847829371825,0.0142809107772046,0.7857179791298285,0.7009531852989327,0.8309885896473149
CycleGAN-2D-T2,CycleGAN,GAN,2D,t2,t2,30,0.775963699132196,0.0519609206347469,0.0185939766490525,0.7746754947971652,0.6716826539364184,0.8980280304520025,13.227955858169649,1.8609340556813287,0.6659266994131425,12.884649751889423,10.076012416790888,16.31034028607591,0.1633057092626889,0.0465038660601511,0.0166411947488645,0.1653493121266365,0.09202641248703,0.2594956457614898,0.2665619875103823,0.0392116973069944,0.0140317256736288,0.2702616494216029,0.1637789203060997,0.3546091578034467,0.7765952606704355,0.0523245799767909,0.0187241104733107,0.7748809142969706,0.6711669500800123,0.8945983610866445
CUT-3D-T2+FLAIR,CUT,GAN,3D,t2_flair,t2,20,0.7728941626827089,0.0333723837472515,0.0146260920514924,0.779185737282482,0.7115629845254903,0.8229614048646501,14.013405306776466,1.061638685689588,0.4652836686741086,14.300530633256432,11.913411304595574,15.385867691406894,0.1348244193941354,0.0269307902749005,0.0118029392375237,0.129563994705677,0.1067431345582008,0.193557471036911,0.2174645700470668,0.0299812641524928,0.0131398683604849,0.212927608583514,0.1740707356608316,0.278009930077721,0.7735040984789353,0.0322113574171156,0.0141172498271136,0.7782871431788043,0.7160081016784446,0.8228531119265503
